wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,psid
Q106119866,Donika Gërvalla – Schwarz,Donika Gërvalla-Schwarz,female,1971-01-01,9,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,,Q107601071,Second Deputy Prime Minister and Minister of Foreign Affairs and Diaspora,Q106119866-133A24DE-1B7D-424B-9B97-315BD295F87D
Q106407260,Arbërie Nagavci,Arbërie Nagavci,female,1970-03-29,11,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,,Q107601165,"Minister of the Ministry of Education, Science, Technology and Innovation",Q106407260-F6EA83E3-F798-4224-B4F6-8E9D7304544E
Q107601103,Elbert Krasniqi,Elbert Krasniqi,,,,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,,Q107601105,Minister of the Ministry of Local Government Administration,Q107601103-BA0FCACD-2A39-4121-8387-02E9F3AA1A46
Q107601124,Rozeta Hajdari,Rozeta Hajdari,,,,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,,Q107601128,"Minister of the Ministry of Industry, Entrepreneurship and Trade",Q107601124-00B84806-758E-4CA2-9316-3D1E1E082754
Q107601152,Hekuran Murati,Hekuran Murati,,,,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,,Q107601155,"Minister of the Ministry of Finance, Labor and Transfers",Q107601152-6D314664-46BC-4211-AF89-93223B21014D
Q107601172,Artane Rizvanolli,Artane Rizvanolli,female,,,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,,Q107601175,Minister of the Ministry of Economy,Q107601172-6618A0BD-F711-47E6-84FB-C2BEC6EB6EBE
Q107601179,Armend Mehaj,Armend Mehaj,male,,,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,,Q107601182,Minister of the Ministry of Defense,Q107601179-44FA8FC2-0118-4A81-9B47-7887A6131634
Q107601196,Faton Peci,Faton Peci,,,,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,,Q107601198,"Minister of the Ministry of Agriculture, Forestry and Rural Development",Q107601196-AC04410C-B874-4D19-A54A-1A1A3E220C3A
Q13036897,Albulena Haxhiu,Albulena Haxhiu,female,1987-05-11,11,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,,Q107601110,Minister of the Ministry of Justice,Q13036897-A1EE825B-BD57-408A-8C4A-FAE02836F6E7
Q13037558,Besnik Bislimi,Besnik Bislimi,male,1971-05-19,11,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,,Q107601200,"First Deputy Prime Minister for European Integration, Development and Dialogue",Q13037558-29CA71CA-FDC4-483B-9118-DC26B9427546
Q13041571,Liburn Aliu,Liburn Aliu,male,1975-01-01,9,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,,Q107601161,"Minister of the Ministry of Environment, Spatial Planning and Infrastructure",Q13041571-51FD15D0-5B84-4083-873E-85C871689024
Q13047921,Xhelal Sveçla,Xhelal Sveçla,male,,,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,,Q107601116,Minister of the Ministry of Internal Affairs,Q13047921-36D31D13-0CD9-4A68-8F91-675B03FE2536
Q16355211,Rifat Latifi,Rifat Latifi,male,,,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,2021-11-18,Q107601147,Minister of Ministry of Health,Q16355211-8ED21F6B-B4A1-4996-85A9-EC408DC97591
Q43388670,Emilija Redžepi,Emilija Redžepi,female,1973-07-15,11,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,,Q107601053,Third Deputy Prime Minister for Minority Issues and Human Rights,Q43388670-762FB667-7D09-4EF4-874E-80763C541D94
Q441633,Albin Kurti,Albin Kurti,male,1975-03-24,11,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,,Q116102,Prime Minister Republic of Kosovo,Q441633-0a85622e-46c5-8159-ea88-bdc725029c60
Q61079310,Hajrulla Çeku,Hajrulla Çeku,male,,,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,,Q107601190,"Minister of the Ministry of Culture, Youth and Sports",Q61079310-E7C3D484-E347-47FB-8EA1-BFFD4EBA29DA
Q61079964,Fikrim Damka,Fikrim Damka,,,,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,,Q107601083,Minister of the Ministry of Regional Development,Q61079964-375CFE9B-13C7-4672-B6B8-ED0F2F1B8EAF
Q95981055,Goran Rakić,Goran Rakić,male,1971-01-01,9,https://kryeministri.rks-gov.net/en/the-prime-minister/government-cabinet/,,Q107601193,Minister of the Ministry of Communities and Returns,Q95981055-2F5B76D6-20AF-4156-AC75-37C9987F08AB
